"País","PBI PPA","GDP (CIA)","% desempleo"
"Northern Mariana Islands",1.242e+09,24500,11.2
"Norway",3.812e+11,72100,4.2
"Oman",1.901e+11,46000,NA
"Pakistan",1.061e+12,5400,6
"Palau",2.64e+08,14700,1.7
"Panama",1.041e+11,25400,6
"Papua New Guinea",3.019e+10,3700,2.5
"Paraguay",8.891e+10,12800,5.7
"Peru",4.303e+11,13500,6.9
"Philippines",8.772e+11,8400,5.7
"Poland",1.126e+12,29600,4.9
"Portugal",3.141e+11,30500,8.9
"Puerto Rico",1.3e+11,39400,10.8
"Qatar",3.395e+11,124100,8.9
"Romania",4.834e+11,24600,4.9
"Russia",4.016e+12,27900,5.2
"Rwanda",2.468e+10,2100,2.7
"Saint Helena, Ascension, and Tristan da Cunha",31100000,7800,14
"Saint Kitts and Nevis",1.55e+09,28200,4.5
"Saint Lucia",2.542e+09,14400,20
"Saint Martin",561500000,19300,NA
"Saint Pierre and Miquelon",261300000,46200,8.7
"Saint Vincent and the Grenadines",1.265e+09,11500,18.8
"Samoa",1.137e+09,5700,5.2
"San Marino",2.064e+09,59000,8.1
"Sao Tome and Principe",6.86e+08,3200,12.2
"Saudi Arabia",1.775e+12,54500,6
"Senegal",5.48e+10,3500,48
"Serbia",1.057e+11,15100,14.1
"Seychelles",2.75e+09,29300,3
"Sierra Leone",1.155e+10,1600,15
"Singapore",5.281e+11,94100,2.2
"Sint Maarten",365800000,66800,12
"Slovakia",1.797e+11,33100,8.1
"Slovenia",7.123e+10,34500,6.6
"Solomon Islands",1.33e+09,2200,NA
"Somalia",2.044e+10,NA,NA
"South Africa",7.672e+11,13600,27.5
"South Sudan",2.001e+10,1600,NA
"Spain",1.778e+12,38400,17.2
"Sri Lanka",2.758e+11,12900,4.4
"Sudan",1.774e+11,4300,19.6
"Suriname",8.688e+09,14900,8.9
"Sweden",5.18e+11,51200,6.7
"Switzerland",5.231e+11,62100,3.2
"Syria",5.028e+10,2900,50
"Taiwan",1.189e+12,50500,3.8
"Tajikistan",2.843e+10,3200,2.4
"Tanzania",1.625e+11,3200,10.3
"Thailand",1.236e+12,17900,0.7
