"Country","Suicidio","IDH","GDP (CIA)","% desempleo","tasa de fertilidad","% urbanizado","Happiness Score","Social Support Score","Generosity Score","Political Participation","Political Culture","Civil Liberties"
"Jordan",2.9,0.723,9200,18.3,2.8,0.914,4.906,1.225,0.11,3.89,4.38,3.53
"Kazakhstan",22.5,0.817,26300,5,2.8,0.577,5.809,1.508,0.146,4.44,4.38,3.24
"Kenya",3.2,0.579,3500,40,3.5,0.28,4.509,0.983,0.372,6.67,5.63,4.41
"Kuwait",2.3,0.808,65800,1.1,2.1,1,6.011,1.409,0.359,3.89,4.38,3.53
"Kyrgyzstan",8.3,0.674,3700,7.1,3.3,0.369,5.261,1.438,0.3,6.67,3.75,5
"Laos",8.6,0.604,7400,0.7,2.7,0.363,4.796,1.03,0.266,1.67,5,1.18
"Latvia",21.2,0.854,27700,8.7,1.6,0.683,5.94,1.465,0.075,6.11,6.88,8.82
"Lebanon",3.3,0.73,19600,9.7,2.1,0.889,5.197,1.224,0.166,6.67,5,4.71
"Lesotho",21.2,0.518,3300,28.1,3.1,0.29,3.802,1.169,0.107,6.67,5.63,6.76
"Liberia",6.8,0.465,1300,2.8,4.3,0.521,3.975,0.922,0.233,5.56,5.63,5.59
"Libya",5.2,0.708,9600,30,2.2,0.807,5.525,1.303,0.133,2.78,4.38,2.94
"Lithuania",31.9,0.869,32400,7.1,1.6,0.68,6.149,1.515,0.043,6.11,6.25,9.12
"Luxembourg",13.5,0.909,105100,5.8,1.4,0.915,7.09,1.479,0.194,6.67,8.75,9.71
"Macedonia",7.9,0.759,14900,22.4,1.5,0.585,5.274,1.294,0.185,6.67,3.75,7.06
"Madagascar",3.9,0.521,1600,1.8,4.1,0.385,3.933,0.916,0.169,6.11,5.63,5
"Malawi",3.7,0.485,1200,20.4,4.2,0.174,3.41,0.56,0.218,5,6.25,5.88
"Malaysia",5.5,0.804,29100,3.4,2,0.772,5.339,1.171,0.26,6.67,6.25,5.88
"Mali",4.8,0.427,2200,7.9,5.9,0.439,4.39,1.105,0.153,3.89,5.63,5.59
"Malta",7.5,0.885,41900,4.6,1.2,0.947,6.726,1.52,0.375,6.11,8.13,8.82
"Mauritania",4.4,0.527,4500,10.2,4.6,0.553,4.49,1.167,0.106,5,3.13,4.41
"Mauritius",7.8,0.796,22300,7.1,1.4,0.408,5.888,1.402,0.215,5.56,8.75,9.41
"Mexico",5.1,0.767,19900,3.4,2.1,0.807,6.595,1.323,0.074,7.22,3.13,6.18
"Moldova",15.9,0.711,6700,4.1,1.3,0.428,5.529,1.328,0.181,6.11,4.38,7.06
"Mongolia",13,0.735,13700,8,2.9,0.687,5.285,1.531,0.235,5.56,5,7.06
"Montenegro",10.3,0.816,17800,16.1,1.7,0.675,5.523,1.361,0.142,6.11,4.38,6.76
"Morocco",2.9,0.676,8600,10.2,3.1,0.635,5.208,0.782,0.036,5.56,5.63,4.41
"Mozambique",4.9,0.446,1300,24.5,4.9,0.371,4.466,0.986,0.197,5,5,3.53
"Namibia",8.7,0.645,11200,34,3.4,0.52,4.639,1.313,0.07,6.67,5.63,7.94
"Nepal",8.8,0.579,2700,3,1.9,0.206,4.913,1.226,0.285,5,5.63,5.59
"Netherlands",12.6,0.934,53900,4.9,1.6,0.922,7.488,1.522,0.322,8.33,8.75,9.12
"New Zealand",12.1,0.921,39000,4.7,1.7,0.867,7.307,1.557,0.33,8.89,8.13,10
"Nicaragua",12.2,0.651,5900,6.4,2.4,0.59,6.105,1.325,0.2,3.89,5.63,4.12
"Niger",4.6,0.377,1200,0.3,6.9,0.166,4.628,0.774,0.188,3.33,4.38,4.71
"Nigeria",9.5,0.534,5900,16.5,5.4,0.52,5.265,1.111,0.215,3.33,3.75,4.41
"Norway",12.2,0.954,72100,4.2,1.6,0.83,7.554,1.582,0.271,10,10,9.71
"Pakistan",2.9,0.56,5400,6,3.5,0.372,5.653,0.886,0.22,2.22,2.5,4.71
"Panama",4.3,0.795,25400,6,2.5,0.684,6.321,1.442,0.109,6.67,5,7.94
"Paraguay",9.5,0.724,12800,5.7,2.4,0.622,5.743,1.475,0.184,5,4.38,7.35
"Peru",4.9,0.759,13500,6.9,2.3,0.783,5.697,1.274,0.083,5.56,5.63,7.65
"Philippines",3.2,0.712,8400,5.7,2.6,0.474,5.631,1.293,0.117,7.22,4.38,7.06
"Poland",16.2,0.872,29600,4.9,1.5,0.6,6.182,1.438,0.117,6.11,4.38,7.35
"Portugal",14,0.85,30500,8.9,1.4,0.663,5.693,1.431,0.047,6.11,7.5,9.12
"Qatar",6.6,0.848,124100,8.9,1.9,0.992,6.374,1.313,0.22,2.22,5.63,3.82
"Romania",10.4,0.816,24600,4.9,1.8,0.542,6.07,1.232,0.083,5.56,4.38,7.65
"Russia",31,0.824,27900,5.2,1.82,0.748,5.648,1.452,0.082,5,2.5,4.12
"Russia",31,0.824,27900,5.2,1.6,0.748,5.648,1.452,0.082,5,2.5,4.12
"Rwanda",6.7,0.536,2100,2.7,4,0.174,3.334,0.711,0.217,2.78,4.38,2.94
"Saudi Arabia",3.2,0.857,54500,6,2.3,0.843,6.375,1.357,0.08,2.22,3.13,1.47
"Senegal",6,0.514,3500,48,4.6,0.481,4.681,1.134,0.153,4.44,6.25,6.18
"Serbia",15.6,0.799,15100,14.1,1.5,0.564,5.603,1.383,0.137,6.11,5,7.35
"Sierra Leone",9.7,0.438,1600,15,4.3,0.429,4.374,0.841,0.252,3.33,6.25,5.29
"Singapore",9.9,0.935,94100,2.2,1.1,1,6.262,1.463,0.271,5,6.25,7.06
"Slovenia",18.6,0.902,34500,6.6,1.6,0.551,6.118,1.523,0.144,6.67,6.25,8.24
"South Africa",11.6,0.705,13600,27.5,2.4,0.674,4.722,1.351,0.13,8.33,5,7.94
"South Korea",26.9,0.906,39500,3.7,1,0.814,5.895,1.219,0.175,7.22,7.5,8.24
"Spain",8.7,0.893,38400,17.2,1.3,0.808,6.354,1.484,0.153,7.78,8.13,8.82
"Sri Lanka",14.6,0.78,12900,4.4,2.2,0.187,4.366,1.265,0.244,5.56,6.25,6.47
"Sweden",14.8,0.937,51200,6.7,1.8,0.88,7.343,1.487,0.267,8.33,10,9.41
"Switzerland",17.2,0.946,62100,3.2,1.5,0.739,7.48,1.526,0.263,7.78,9.38,9.12
"Syria",1.9,0.549,2900,50,2.8,0.555,3.462,0.378,0.331,2.78,4.38,0
"Tajikistan",2.5,0.656,3200,2.4,3.6,0.275,5.467,1.098,0.23,1.67,6.25,0.88
"Tanzania",5.4,0.528,3200,10.3,4.9,0.352,3.231,0.885,0.276,5,5.63,4.41
"Thailand",14.4,0.765,17900,0.7,1.5,0.514,6.008,1.409,0.359,6.11,6.25,6.47
